fecha,REP_ultimo,REP_per,REP_bpa,REP_rentabilidad_por_dividendo,REP_precio_valor_contable,REP_ebitda
2018-02-21,"12,929","5,33","1,46","6,98","0,40","7.173,00"
2018-02-22,"13,025","5,33","1,46","6,98","0,40","7.173,00"
2018-02-23,"13,058","5,33","1,46","6,98","0,40","7.173,00"
2018-02-26,"13,164","5,33","1,46","6,98","0,40","7.173,00"
2018-02-27,"13,108","5,33","1,46","6,98","0,40","7.173,00"
2018-02-28,"13,565","5,33","1,46","6,98","0,40","7.173,00"
2018-03-01,"13,376","5,33","1,46","6,98","0,40","7.173,00"
2018-03-02,"12,915","5,33","1,46","6,98","0,40","7.173,00"
2018-03-05,"13,021","5,33","1,46","6,98","0,40","7.173,00"
2018-03-06,"13,136","5,33","1,46","6,98","0,40","7.173,00"
2018-03-07,"12,896","5,33","1,46","6,98","0,40","7.173,00"
2018-03-08,"12,878","5,33","1,46","6,98","0,40","7.173,00"
2018-03-09,"13,012","5,33","1,46","6,98","0,40","7.173,00"
2018-03-12,"13,025","5,33","1,46","6,98","0,40","7.173,00"
2018-03-13,"13,030","5,33","1,46","6,98","0,40","7.173,00"
2018-03-14,"12,915","5,33","1,46","6,98","0,40","7.173,00"
2018-03-15,"12,878","5,33","1,46","6,98","0,40","7.173,00"
2018-03-16,"13,118","5,33","1,46","6,98","0,40","7.173,00"
2018-03-19,"12,721","5,33","1,46","6,98","0,40","7.173,00"
2018-03-20,"12,961","5,33","1,46","6,98","0,40","7.173,00"
2018-03-21,"13,150","5,33","1,46","6,98","0,40","7.173,00"
2018-03-22,"12,984","5,33","1,46","6,98","0,40","7.173,00"
2018-03-23,"12,943","5,33","1,46","6,98","0,40","7.173,00"
2018-03-26,"13,113","5,33","1,46","6,98","0,40","7.173,00"
2018-03-27,"13,265","5,33","1,46","6,98","0,40","7.173,00"
2018-03-28,"13,196","5,33","1,46","6,98","0,40","7.173,00"
2018-03-29,"13,298","5,33","1,46","6,98","0,40","7.173,00"
2018-04-03,"13,376","5,33","1,46","6,98","0,40","7.173,00"
2018-04-04,"13,510","5,33","1,46","6,98","0,40","7.173,00"
2018-04-05,"13,819","5,33","1,46","6,98","0,40","7.173,00"
2018-04-06,"13,842","5,33","1,46","6,98","0,40","7.173,00"
2018-04-09,"13,814","5,33","1,46","6,98","0,40","7.173,00"
2018-04-10,"14,109","5,33","1,46","6,98","0,40","7.173,00"
2018-04-11,"14,206","5,33","1,46","6,98","0,40","7.173,00"
2018-04-12,"14,322","5,33","1,46","6,98","0,40","7.173,00"
2018-04-13,"14,331","5,33","1,46","6,98","0,40","7.173,00"
2018-04-16,"14,220","5,33","1,46","6,98","0,40","7.173,00"
2018-04-17,"14,257","5,33","1,46","6,98","0,40","7.173,00"
2018-04-18,"14,524","5,33","1,46","6,98","0,40","7.173,00"
2018-04-19,"14,515","5,33","1,46","6,98","0,40","7.173,00"
2018-04-20,"14,506","5,33","1,46","6,98","0,40","7.173,00"
2018-04-23,"14,552","5,33","1,46","6,98","0,40","7.173,00"
2018-04-24,"14,737","5,33","1,46","6,98","0,40","7.173,00"
2018-04-25,"14,483","5,33","1,46","6,98","0,40","7.173,00"
2018-04-26,"14,580","5,33","1,46","6,98","0,40","7.173,00"
2018-04-27,"14,580","5,33","1,46","6,98","0,40","7.173,00"
2018-04-30,"14,621","5,33","1,46","6,98","0,40","7.173,00"
2018-05-02,"14,640","5,33","1,46","6,98","0,40","7.173,00"
2018-05-03,"14,668","5,33","1,46","6,98","0,40","7.173,00"
2018-05-04,"14,774","5,33","1,46","6,98","0,40","7.173,00"
