fecha,AMS_ultimo,AMS_per,AMS_bpa,AMS_rentabilidad_por_dividendo,AMS_precio_valor_contable,AMS_ebitda
2018-11-05,"70,640","17,86","2,61","1,10","6,30","2.014,00"
2018-11-06,"70,820","17,86","2,61","1,10","6,30","2.014,00"
2018-11-07,"69,600","17,86","2,61","1,10","6,30","2.014,00"
2018-11-08,"70,000","17,86","2,61","1,10","6,30","2.014,00"
2018-11-09,"69,860","17,86","2,61","1,10","6,30","2.014,00"
2018-11-12,"68,500","17,86","2,61","1,10","6,30","2.014,00"
2018-11-13,"67,920","17,86","2,61","1,10","6,30","2.014,00"
2018-11-14,"66,900","17,86","2,61","1,10","6,30","2.014,00"
2018-11-15,"66,900","17,86","2,61","1,10","6,30","2.014,00"
2018-11-16,"67,140","17,86","2,61","1,10","6,30","2.014,00"
2018-11-19,"65,860","17,86","2,61","1,10","6,30","2.014,00"
2018-11-20,"63,860","17,86","2,61","1,10","6,30","2.014,00"
2018-11-21,"63,840","17,86","2,61","1,10","6,30","2.014,00"
2018-11-22,"63,500","17,86","2,61","1,10","6,30","2.014,00"
2018-11-23,"62,520","17,86","2,61","1,10","6,30","2.014,00"
2018-11-26,"63,120","17,86","2,61","1,10","6,30","2.014,00"
2018-11-27,"63,500","17,86","2,61","1,10","6,30","2.014,00"
2018-11-28,"64,280","17,86","2,61","1,10","6,30","2.014,00"
2018-11-29,"64,020","17,86","2,61","1,10","6,30","2.014,00"
2018-11-30,"63,260","17,86","2,61","1,10","6,30","2.014,00"
2018-12-03,"64,800","17,86","2,61","1,10","6,30","2.014,00"
2018-12-04,"64,100","17,86","2,61","1,10","6,30","2.014,00"
2018-12-05,"63,300","17,86","2,61","1,10","6,30","2.014,00"
2018-12-06,"61,640","17,86","2,61","1,10","6,30","2.014,00"
2018-12-07,"61,320","17,86","2,61","1,10","6,30","2.014,00"
2018-12-10,"60,260","17,86","2,61","1,10","6,30","2.014,00"
2018-12-11,"61,240","17,86","2,61","1,10","6,30","2.014,00"
2018-12-12,"62,800","17,86","2,61","1,10","6,30","2.014,00"
2018-12-13,"63,520","17,86","2,61","1,10","6,30","2.014,00"
2018-12-14,"62,300","17,86","2,61","1,10","6,30","2.014,00"
2018-12-17,"61,680","17,86","2,61","1,10","6,30","2.014,00"
2018-12-18,"60,680","17,86","2,61","1,10","6,30","2.014,00"
2018-12-19,"61,280","17,86","2,61","1,10","6,30","2.014,00"
2018-12-20,"59,040","17,86","2,61","1,10","6,30","2.014,00"
2018-12-21,"59,840","17,86","2,61","1,10","6,30","2.014,00"
2018-12-24,"59,660","17,86","2,61","1,10","6,30","2.014,00"
2018-12-27,"60,220","17,86","2,61","1,10","6,30","2.014,00"
2018-12-28,"61,240","17,86","2,61","1,10","6,30","2.014,00"
2018-12-31,"60,840","17,86","2,61","1,10","6,30","2.014,00"
2019-01-02,"61,440","15,80","2,95","1,62","5,29","2.245,00"
2019-01-03,"58,060","15,80","2,95","1,62","5,29","2.245,00"
2019-01-04,"60,060","15,80","2,95","1,62","5,29","2.245,00"
2019-01-07,"60,620","15,80","2,95","1,62","5,29","2.245,00"
2019-01-08,"62,160","15,80","2,95","1,62","5,29","2.245,00"
2019-01-09,"62,440","15,80","2,95","1,62","5,29","2.245,00"
2019-01-10,"61,460","15,80","2,95","1,62","5,29","2.245,00"
2019-01-11,"61,880","15,80","2,95","1,62","5,29","2.245,00"
