fecha,AENA_ultimo,AENA_per,AENA_bpa,AENA_rentabilidad_por_dividendo,AENA_precio_valor_contable,AENA_ebitda
2018-11-22,"136,00","13,49","8,85","4,99","2,97","2.656,59"
2018-11-23,"136,45","13,49","8,85","4,99","2,97","2.656,59"
2018-11-26,"139,55","13,49","8,85","4,99","2,97","2.656,59"
2018-11-27,"141,45","13,49","8,85","4,99","2,97","2.656,59"
2018-11-28,"142,15","13,49","8,85","4,99","2,97","2.656,59"
2018-11-29,"142,05","13,49","8,85","4,99","2,97","2.656,59"
2018-11-30,"140,20","13,49","8,85","4,99","2,97","2.656,59"
2018-12-03,"140,30","13,49","8,85","4,99","2,97","2.656,59"
2018-12-04,"140,80","13,49","8,85","4,99","2,97","2.656,59"
2018-12-05,"140,15","13,49","8,85","4,99","2,97","2.656,59"
2018-12-06,"140,50","13,49","8,85","4,99","2,97","2.656,59"
2018-12-07,"140,00","13,49","8,85","4,99","2,97","2.656,59"
2018-12-10,"139,60","13,49","8,85","4,99","2,97","2.656,59"
2018-12-11,"142,70","13,49","8,85","4,99","2,97","2.656,59"
2018-12-12,"143,10","13,49","8,85","4,99","2,97","2.656,59"
2018-12-13,"141,35","13,49","8,85","4,99","2,97","2.656,59"
2018-12-14,"140,55","13,49","8,85","4,99","2,97","2.656,59"
2018-12-17,"138,45","13,49","8,85","4,99","2,97","2.656,59"
2018-12-18,"136,80","13,49","8,85","4,99","2,97","2.656,59"
2018-12-19,"136,40","13,49","8,85","4,99","2,97","2.656,59"
2018-12-20,"135,00","13,49","8,85","4,99","2,97","2.656,59"
2018-12-21,"135,95","13,49","8,85","4,99","2,97","2.656,59"
2018-12-24,"135,10","13,49","8,85","4,99","2,97","2.656,59"
2018-12-27,"133,65","13,49","8,85","4,99","2,97","2.656,59"
2018-12-28,"136,00","13,49","8,85","4,99","2,97","2.656,59"
2018-12-31,"135,75","13,49","8,85","4,99","2,97","2.656,59"
2019-01-02,"137,00","12,42","9,61","4,00","2,80","2.772,00"
2019-01-03,"137,05","12,42","9,61","4,00","2,80","2.772,00"
