fecha,CABK_ultimo,CABK_per,CABK_bpa,CABK_rentabilidad_por_dividendo,CABK_precio_valor_contable,CABK_ebitda
2017-12-01,"3,870","6,59","0,28","3,64","0,45","0,00"
2017-12-04,"3,900","6,59","0,28","3,64","0,45","0,00"
2017-12-05,"3,900","6,59","0,28","3,64","0,45","0,00"
2017-12-06,"3,850","6,59","0,28","3,64","0,45","0,00"
2017-12-07,"3,930","6,59","0,28","3,64","0,45","0,00"
2017-12-08,"4,040","6,59","0,28","3,64","0,45","0,00"
2017-12-11,"4,060","6,59","0,28","3,64","0,45","0,00"
2017-12-12,"4,010","6,59","0,28","3,64","0,45","0,00"
2017-12-13,"4,000","6,59","0,28","3,64","0,45","0,00"
2017-12-14,"3,920","6,59","0,28","3,64","0,45","0,00"
2017-12-15,"3,900","6,59","0,28","3,64","0,45","0,00"
2017-12-18,"3,930","6,59","0,28","3,64","0,45","0,00"
2017-12-19,"3,970","6,59","0,28","3,64","0,45","0,00"
2017-12-20,"4,000","6,59","0,28","3,64","0,45","0,00"
2017-12-21,"4,090","6,59","0,28","3,64","0,45","0,00"
2017-12-22,"3,940","6,59","0,28","3,64","0,45","0,00"
2017-12-27,"3,940","6,59","0,28","3,64","0,45","0,00"
2017-12-28,"3,900","6,59","0,28","3,64","0,45","0,00"
2017-12-29,"3,890","6,59","0,28","3,64","0,45","0,00"
2018-01-02,"3,970","5,77","0,32","5,01","0,46","0,00"
2018-01-03,"3,980","5,77","0,32","5,01","0,46","0,00"
2018-01-04,"4,060","5,77","0,32","5,01","0,46","0,00"
2018-01-05,"4,070","5,77","0,32","5,01","0,46","0,00"
2018-01-08,"4,070","5,77","0,32","5,01","0,46","0,00"
2018-01-09,"4,140","5,77","0,32","5,01","0,46","0,00"
2018-01-10,"4,240","5,77","0,32","5,01","0,46","0,00"
2018-01-11,"4,270","5,77","0,32","5,01","0,46","0,00"
2018-01-12,"4,280","5,77","0,32","5,01","0,46","0,00"
2018-01-15,"4,270","5,77","0,32","5,01","0,46","0,00"
2018-01-16,"4,260","5,77","0,32","5,01","0,46","0,00"
2018-01-17,"4,260","5,77","0,32","5,01","0,46","0,00"
2018-01-18,"4,260","5,77","0,32","5,01","0,46","0,00"
2018-01-19,"4,310","5,77","0,32","5,01","0,46","0,00"
2018-01-22,"4,420","5,77","0,32","5,01","0,46","0,00"
2018-01-23,"4,370","5,77","0,32","5,01","0,46","0,00"
2018-01-24,"4,310","5,77","0,32","5,01","0,46","0,00"
2018-01-25,"4,440","5,77","0,32","5,01","0,46","0,00"
2018-01-26,"4,410","5,77","0,32","5,01","0,46","0,00"
2018-01-29,"4,380","5,77","0,32","5,01","0,46","0,00"
2018-01-30,"4,330","5,77","0,32","5,01","0,46","0,00"
2018-01-31,"4,350","5,77","0,32","5,01","0,46","0,00"
2018-02-01,"4,370","5,77","0,32","5,01","0,46","0,00"
2018-02-02,"4,240","5,77","0,32","5,01","0,46","0,00"
2018-02-05,"4,180","5,77","0,32","5,01","0,46","0,00"
2018-02-06,"4,100","5,77","0,32","5,01","0,46","0,00"
2018-02-07,"4,180","5,77","0,32","5,01","0,46","0,00"
2018-02-08,"4,070","5,77","0,32","5,01","0,46","0,00"
2018-02-09,"4,010","5,77","0,32","5,01","0,46","0,00"
2018-02-12,"4,070","5,77","0,32","5,01","0,46","0,00"
2018-02-13,"3,980","5,77","0,32","5,01","0,46","0,00"
2018-02-14,"3,990","5,77","0,32","5,01","0,46","0,00"
2018-02-15,"3,990","5,77","0,32","5,01","0,46","0,00"
2018-02-16,"4,020","5,77","0,32","5,01","0,46","0,00"
2018-02-19,"4,070","5,77","0,32","5,01","0,46","0,00"
2018-02-20,"4,050","5,77","0,32","5,01","0,46","0,00"
2018-02-21,"4,040","5,77","0,32","5,01","0,46","0,00"
2018-02-22,"4,000","5,77","0,32","5,01","0,46","0,00"
2018-02-23,"3,980","5,77","0,32","5,01","0,46","0,00"
2018-02-26,"4,000","5,77","0,32","5,01","0,46","0,00"
2018-02-27,"4,010","5,77","0,32","5,01","0,46","0,00"
2018-02-28,"4,010","5,77","0,32","5,01","0,46","0,00"
2018-03-01,"3,970","5,77","0,32","5,01","0,46","0,00"
2018-03-02,"3,850","5,77","0,32","5,01","0,46","0,00"
2018-03-05,"3,850","5,77","0,32","5,01","0,46","0,00"
2018-03-06,"3,870","5,77","0,32","5,01","0,46","0,00"
2018-03-07,"3,880","5,77","0,32","5,01","0,46","0,00"
2018-03-08,"3,880","5,77","0,32","5,01","0,46","0,00"
2018-03-09,"3,860","5,77","0,32","5,01","0,46","0,00"
2018-03-12,"3,870","5,77","0,32","5,01","0,46","0,00"
2018-03-13,"3,890","5,77","0,32","5,01","0,46","0,00"
2018-03-14,"3,830","5,77","0,32","5,01","0,46","0,00"
2018-03-15,"3,810","5,77","0,32","5,01","0,46","0,00"
2018-03-16,"3,880","5,77","0,32","5,01","0,46","0,00"
2018-03-19,"3,840","5,77","0,32","5,01","0,46","0,00"
2018-03-20,"3,930","5,77","0,32","5,01","0,46","0,00"
2018-03-21,"3,910","5,77","0,32","5,01","0,46","0,00"
2018-03-22,"3,820","5,77","0,32","5,01","0,46","0,00"
2018-03-23,"3,800","5,77","0,32","5,01","0,46","0,00"
2018-03-26,"3,800","5,77","0,32","5,01","0,46","0,00"
2018-03-27,"3,810","5,77","0,32","5,01","0,46","0,00"
2018-03-28,"3,820","5,77","0,32","5,01","0,46","0,00"
2018-03-29,"3,870","5,77","0,32","5,01","0,46","0,00"
2018-04-03,"3,810","5,77","0,32","5,01","0,46","0,00"
2018-04-04,"3,810","5,77","0,32","5,01","0,46","0,00"
