fecha,SAN_ultimo,SAN_per,SAN_bpa,SAN_rentabilidad_por_dividendo,SAN_precio_valor_contable,SAN_ebitda
2018-03-05,"5,471","4,56","0,46","5,89","0,36","0,00"
2018-03-06,"5,420","4,56","0,46","5,89","0,36","0,00"
2018-03-07,"5,425","4,56","0,46","5,89","0,36","0,00"
2018-03-08,"5,436","4,56","0,46","5,89","0,36","0,00"
2018-03-09,"5,425","4,56","0,46","5,89","0,36","0,00"
2018-03-12,"5,449","4,56","0,46","5,89","0,36","0,00"
2018-03-13,"5,419","4,56","0,46","5,89","0,36","0,00"
2018-03-14,"5,318","4,56","0,46","5,89","0,36","0,00"
2018-03-15,"5,302","4,56","0,46","5,89","0,36","0,00"
2018-03-16,"5,406","4,56","0,46","5,89","0,36","0,00"
2018-03-19,"5,326","4,56","0,46","5,89","0,36","0,00"
2018-03-20,"5,332","4,56","0,46","5,89","0,36","0,00"
2018-03-21,"5,288","4,56","0,46","5,89","0,36","0,00"
2018-03-22,"5,178","4,56","0,46","5,89","0,36","0,00"
2018-03-23,"5,148","4,56","0,46","5,89","0,36","0,00"
2018-03-26,"5,191","4,56","0,46","5,89","0,36","0,00"
2018-03-27,"5,229","4,56","0,46","5,89","0,36","0,00"
2018-03-28,"5,214","4,56","0,46","5,89","0,36","0,00"
2018-03-29,"5,262","4,56","0,46","5,89","0,36","0,00"
2018-04-03,"5,198","4,56","0,46","5,89","0,36","0,00"
2018-04-04,"5,171","4,56","0,46","5,89","0,36","0,00"
2018-04-05,"5,364","4,56","0,46","5,89","0,36","0,00"
2018-04-06,"5,304","4,56","0,46","5,89","0,36","0,00"
2018-04-09,"5,327","4,56","0,46","5,89","0,36","0,00"
2018-04-10,"5,316","4,56","0,46","5,89","0,36","0,00"
2018-04-11,"5,290","4,56","0,46","5,89","0,36","0,00"
2018-04-12,"5,310","4,56","0,46","5,89","0,36","0,00"
2018-04-13,"5,336","4,56","0,46","5,89","0,36","0,00"
2018-04-16,"5,353","4,56","0,46","5,89","0,36","0,00"
2018-04-17,"5,372","4,56","0,46","5,89","0,36","0,00"
2018-04-18,"5,433","4,56","0,46","5,89","0,36","0,00"
2018-04-19,"5,471","4,56","0,46","5,89","0,36","0,00"
2018-04-20,"5,474","4,56","0,46","5,89","0,36","0,00"
2018-04-23,"5,540","4,56","0,46","5,89","0,36","0,00"
2018-04-24,"5,360","4,56","0,46","5,89","0,36","0,00"
2018-04-25,"5,343","4,56","0,46","5,89","0,36","0,00"
2018-04-26,"5,323","4,56","0,46","5,89","0,36","0,00"
2018-04-27,"5,283","4,56","0,46","5,89","0,36","0,00"
2018-04-30,"5,340","4,56","0,46","5,89","0,36","0,00"
2018-05-02,"5,365","4,56","0,46","5,89","0,36","0,00"
2018-05-03,"5,303","4,56","0,46","5,89","0,36","0,00"
2018-05-04,"5,343","4,56","0,46","5,89","0,36","0,00"
2018-05-07,"5,347","4,56","0,46","5,89","0,36","0,00"
2018-05-08,"5,351","4,56","0,46","5,89","0,36","0,00"
2018-05-09,"5,401","4,56","0,46","5,89","0,36","0,00"
2018-05-10,"5,452","4,56","0,46","5,89","0,36","0,00"
2018-05-11,"5,484","4,56","0,46","5,89","0,36","0,00"
2018-05-14,"5,472","4,56","0,46","5,89","0,36","0,00"
2018-05-15,"5,433","4,56","0,46","5,89","0,36","0,00"
2018-05-16,"5,296","4,56","0,46","5,89","0,36","0,00"
2018-05-17,"5,319","4,56","0,46","5,89","0,36","0,00"
2018-05-18,"5,174","4,56","0,46","5,89","0,36","0,00"
2018-05-21,"5,137","4,56","0,46","5,89","0,36","0,00"
2018-05-22,"5,226","4,56","0,46","5,89","0,36","0,00"
2018-05-23,"5,128","4,56","0,46","5,89","0,36","0,00"
2018-05-24,"5,094","4,56","0,46","5,89","0,36","0,00"
2018-05-25,"4,959","4,56","0,46","5,89","0,36","0,00"
2018-05-28,"4,858","4,56","0,46","5,89","0,36","0,00"
2018-05-29,"4,594","4,56","0,46","5,89","0,36","0,00"
2018-05-30,"4,645","4,56","0,46","5,89","0,36","0,00"
2018-05-31,"4,572","4,56","0,46","5,89","0,36","0,00"
2018-06-01,"4,723","4,56","0,46","5,89","0,36","0,00"
2018-06-04,"4,745","4,56","0,46","5,89","0,36","0,00"
2018-06-05,"4,665","4,56","0,46","5,89","0,36","0,00"
2018-06-06,"4,748","4,56","0,46","5,89","0,36","0,00"
2018-06-07,"4,737","4,56","0,46","5,89","0,36","0,00"
2018-06-08,"4,668","4,56","0,46","5,89","0,36","0,00"
2018-06-11,"4,799","4,56","0,46","5,89","0,36","0,00"
2018-06-12,"4,787","4,56","0,46","5,89","0,36","0,00"
2018-06-13,"4,741","4,56","0,46","5,89","0,36","0,00"
2018-06-14,"4,757","4,56","0,46","5,89","0,36","0,00"
2018-06-15,"4,652","4,56","0,46","5,89","0,36","0,00"
2018-06-18,"4,623","4,56","0,46","5,89","0,36","0,00"
2018-06-19,"4,631","4,56","0,46","5,89","0,36","0,00"
2018-06-20,"4,697","4,56","0,46","5,89","0,36","0,00"
2018-06-21,"4,650","4,56","0,46","5,89","0,36","0,00"
2018-06-22,"4,705","4,56","0,46","5,89","0,36","0,00"
2018-06-25,"4,564","4,56","0,46","5,89","0,36","0,00"
2018-06-26,"4,581","4,56","0,46","5,89","0,36","0,00"
2018-06-27,"4,554","4,56","0,46","5,89","0,36","0,00"
2018-06-28,"4,546","4,56","0,46","5,89","0,36","0,00"
2018-06-29,"4,564","4,56","0,46","5,89","0,36","0,00"
2018-07-02,"4,534","4,56","0,46","5,89","0,36","0,00"
2018-07-03,"4,584","4,56","0,46","5,89","0,36","0,00"
2018-07-04,"4,615","4,56","0,46","5,89","0,36","0,00"
2018-07-05,"4,692","4,56","0,46","5,89","0,36","0,00"
2018-07-06,"4,728","4,56","0,46","5,89","0,36","0,00"
2018-07-09,"4,770","4,56","0,46","5,89","0,36","0,00"
