ultimo,apertura,maximo,minimo,vol,variacion
9177.0,9182.7,9232.3,9147.8,147.22,0.1
9167.9,9165.2,9174.2,9117.7,249.73,1.99
8988.9,9002.3,9013.1,8911.3,146.18,-0.24
9010.7,9005.4,9065.3,9002.2,142.75,0.2
8993.0,9058.7,9073.5,8976.5,173.42,0.43
8954.8,8882.5,8985.3,8875.8,169.06,0.69
8893.5,8911.5,8962.6,8883.8,299.96,0.99
8806.1,8849.5,8874.0,8776.2,194.83,-0.17
8821.2,8775.7,8882.7,8752.9,184.72,1.04
8730.4,8746.1,8746.1,8627.6,234.58,-0.62
8785.2,8639.5,8797.9,8637.5,253.39,1.24
8677.4,8767.0,8805.5,8677.4,201.04,-0.56
8726.1,8715.4,8781.9,8681.7,249.66,-0.91
8806.5,8997.7,9013.1,8796.3,197.33,-0.96
8892.1,8874.7,8960.2,8768.6,349.74,0.03
8889.6,8970.7,9063.8,8887.9,313.57,-1.2
8997.2,9113.4,9140.3,8967.1,185.71,-0.85
9074.7,8967.8,9096.8,8934.0,200.18,1.69
8923.7,8883.1,8936.5,8849.4,169.65,0.24
8902.0,9094.7,9098.1,8897.5,168.95,-1.18
9007.9,9018.4,9121.0,8970.8,238.99,-1.69
9162.9,9243.2,9273.0,9158.8,177.15,-1.05
9260.5,9231.7,9283.3,9136.2,171.34,0.67
9199.2,9227.1,9243.0,9167.4,140.67,-0.59
9253.9,9318.1,9318.1,9239.9,133.29,-0.65
9314.5,9349.0,9378.7,9304.7,170.7,-0.5
9361.1,9360.6,9424.7,9300.8,156.82,0.6
9305.5,9349.1,9356.1,9285.1,187.25,-1.08
9407.0,9384.3,9475.2,9367.6,155.28,0.19
9389.2,9468.0,9468.9,9299.6,243.63,-1.45
9527.5,9492.5,9542.8,9406.8,151.51,0.03
9524.8,9519.6,9530.3,9471.1,136.92,0.33
9493.6,9524.8,9568.0,9480.4,141.86,-0.2
9512.8,9549.9,9586.0,9499.9,142.11,-0.81
9590.4,9614.3,9665.4,9563.3,408.47,0.07
9583.7,9489.5,9607.0,9488.3,232.06,1.03
9486.3,9464.4,9502.9,9422.4,205.65,0.41
9447.5,9406.7,9453.6,9385.8,141.91,0.46
9404.6,9350.3,9434.4,9349.9,147.15,0.42
