ultimo,deuda_publica,ipc,tasa_paro,pib,AENA_ultimo,AENA_per,AENA_bpa,AENA_rentabilidad_por_dividendo,AENA_precio_valor_contable,AENA_ebitda,AMS_ultimo,AMS_per,AMS_bpa,AMS_rentabilidad_por_dividendo,AMS_precio_valor_contable,AMS_ebitda,BBVA_ultimo,BBVA_per,BBVA_bpa,BBVA_rentabilidad_por_dividendo,BBVA_precio_valor_contable,BBVA_ebitda,CABK_ultimo,CABK_per,CABK_bpa,CABK_rentabilidad_por_dividendo,CABK_precio_valor_contable,CABK_ebitda,FER_ultimo,FER_per,FER_bpa,FER_rentabilidad_por_dividendo,FER_precio_valor_contable,FER_ebitda,IBE_ultimo,IBE_per,IBE_bpa,IBE_rentabilidad_por_dividendo,IBE_precio_valor_contable,IBE_ebitda,ITX_ultimo,ITX_per,ITX_bpa,ITX_rentabilidad_por_dividendo,ITX_precio_valor_contable,ITX_ebitda,REP_ultimo,REP_per,REP_bpa,REP_rentabilidad_por_dividendo,REP_precio_valor_contable,REP_ebitda,SAN_ultimo,SAN_per,SAN_bpa,SAN_rentabilidad_por_dividendo,SAN_precio_valor_contable,SAN_ebitda,TEF_ultimo,TEF_per,TEF_bpa,TEF_rentabilidad_por_dividendo,TEF_precio_valor_contable,TEF_ebitda
11453.8,1050632.43,-0.66,23.78,1.15,80.66,0.0,0.0,0.0,0.0,0.0,39.385,0.0,0.0,0.0,0.0,0.0,8.842,0.0,0.0,0.0,0.0,0.0,4.229,0.0,0.0,0.0,0.0,0.0,18.217,0.0,0.0,0.0,0.0,0.0,5.655,0.0,0.0,0.0,0.0,0.0,29.615,0.0,0.0,0.0,0.0,0.0,15.952,0.0,0.0,0.0,0.0,0.0,6.659,0.0,0.0,0.0,0.0,0.0,13.258,0.0,0.0,0.0,0.0,0.0
11427.4,1050632.43,-0.66,23.78,1.15,84.0,0.0,0.0,0.0,0.0,0.0,39.475,0.0,0.0,0.0,0.0,0.0,8.779,0.0,0.0,0.0,0.0,0.0,4.191,0.0,0.0,0.0,0.0,0.0,18.269,0.0,0.0,0.0,0.0,0.0,5.648,0.0,0.0,0.0,0.0,0.0,29.645,0.0,0.0,0.0,0.0,0.0,15.756,0.0,0.0,0.0,0.0,0.0,6.628,0.0,0.0,0.0,0.0,0.0,13.175,0.0,0.0,0.0,0.0,0.0
11529.1,1050632.43,-0.66,23.78,1.15,89.5,0.0,0.0,0.0,0.0,0.0,40.145,0.0,0.0,0.0,0.0,0.0,8.871,0.0,0.0,0.0,0.0,0.0,4.27,0.0,0.0,0.0,0.0,0.0,18.397,0.0,0.0,0.0,0.0,0.0,5.624,0.0,0.0,0.0,0.0,0.0,29.82,0.0,0.0,0.0,0.0,0.0,15.943,0.0,0.0,0.0,0.0,0.0,6.725,0.0,0.0,0.0,0.0,0.0,13.222,0.0,0.0,0.0,0.0,0.0
11521.1,1050632.43,-0.66,23.78,1.15,93.51,0.0,0.0,0.0,0.0,0.0,39.96,0.0,0.0,0.0,0.0,0.0,8.869,0.0,0.0,0.0,0.0,0.0,4.258,0.0,0.0,0.0,0.0,0.0,18.709,0.0,0.0,0.0,0.0,0.0,5.617,0.0,0.0,0.0,0.0,0.0,29.88,0.0,0.0,0.0,0.0,0.0,15.842,0.0,0.0,0.0,0.0,0.0,6.758,0.0,0.0,0.0,0.0,0.0,13.162,0.0,0.0,0.0,0.0,0.0
11569.8,1036739.44,-0.64,22.37,1.07,97.49,0.0,0.0,0.0,0.0,0.0,39.905,0.0,0.0,0.0,0.0,0.0,9.041,0.0,0.0,0.0,0.0,0.0,4.29,0.0,0.0,0.0,0.0,0.0,19.053,0.0,0.0,0.0,0.0,0.0,5.647,0.0,0.0,0.0,0.0,0.0,29.705,0.0,0.0,0.0,0.0,0.0,16.021,0.0,0.0,0.0,0.0,0.0,6.76,0.0,0.0,0.0,0.0,0.0,13.192,0.0,0.0,0.0,0.0,0.0
11634.0,1036739.44,-0.64,22.37,1.07,99.6,0.0,0.0,0.0,0.0,0.0,40.17,0.0,0.0,0.0,0.0,0.0,9.108,0.0,0.0,0.0,0.0,0.0,4.286,0.0,0.0,0.0,0.0,0.0,19.164,0.0,0.0,0.0,0.0,0.0,5.638,0.0,0.0,0.0,0.0,0.0,30.19,0.0,0.0,0.0,0.0,0.0,16.03,0.0,0.0,0.0,0.0,0.0,6.812,0.0,0.0,0.0,0.0,0.0,13.222,0.0,0.0,0.0,0.0,0.0
11730.5,1036739.44,-0.64,22.37,1.07,97.95,0.0,0.0,0.0,0.0,0.0,40.92,0.0,0.0,0.0,0.0,0.0,9.168,0.0,0.0,0.0,0.0,0.0,4.26,0.0,0.0,0.0,0.0,0.0,19.708,0.0,0.0,0.0,0.0,0.0,5.737,0.0,0.0,0.0,0.0,0.0,30.535,0.0,0.0,0.0,0.0,0.0,16.505,0.0,0.0,0.0,0.0,0.0,6.86,0.0,0.0,0.0,0.0,0.0,13.107,0.0,0.0,0.0,0.0,0.0
11655.5,1036739.44,-0.64,22.37,1.07,94.9,0.0,0.0,0.0,0.0,0.0,40.355,0.0,0.0,0.0,0.0,0.0,9.045,0.0,0.0,0.0,0.0,0.0,4.237,0.0,0.0,0.0,0.0,0.0,19.746,0.0,0.0,0.0,0.0,0.0,5.674,0.0,0.0,0.0,0.0,0.0,30.35,0.0,0.0,0.0,0.0,0.0,16.386,0.0,0.0,0.0,0.0,0.0,6.794,0.0,0.0,0.0,0.0,0.0,13.013,0.0,0.0,0.0,0.0,0.0
11734.6,1036739.44,-0.64,22.37,1.07,94.5,0.0,0.0,0.0,0.0,0.0,41.25,0.0,0.0,0.0,0.0,0.0,9.085,0.0,0.0,0.0,0.0,0.0,4.243,0.0,0.0,0.0,0.0,0.0,19.876,0.0,0.0,0.0,0.0,0.0,5.72,0.0,0.0,0.0,0.0,0.0,30.685,0.0,0.0,0.0,0.0,0.0,16.66,0.0,0.0,0.0,0.0,0.0,6.817,0.0,0.0,0.0,0.0,0.0,13.023,0.0,0.0,0.0,0.0,0.0
11749.3,1036739.44,-0.64,22.37,1.07,99.42,0.0,0.0,0.0,0.0,0.0,41.565,0.0,0.0,0.0,0.0,0.0,9.013,0.0,0.0,0.0,0.0,0.0,4.24,0.0,0.0,0.0,0.0,0.0,20.04,0.0,0.0,0.0,0.0,0.0,5.747,0.0,0.0,0.0,0.0,0.0,30.88,0.0,0.0,0.0,0.0,0.0,16.587,0.0,0.0,0.0,0.0,0.0,6.799,0.0,0.0,0.0,0.0,0.0,13.088,0.0,0.0,0.0,0.0,0.0
