ultimo,apertura,maximo,minimo,vol,variacion,deuda_publica,ipc,tasa_paro,pib
10037.8,10078.8,10193.0,10031.1,263.82,1.74,1065883.55,-0.88,21.18,0.91
9859.0,9929.2,9989.7,9840.0,260.44,-1.78,1065883.55,-0.88,21.18,0.91
9737.9,9877.0,9886.0,9722.7,261.36,-1.23,1065883.55,-0.88,21.18,0.91
9696.4,9764.8,9836.9,9685.6,213.98,-0.43,1065883.55,-0.88,21.18,0.91
9782.5,9708.3,9834.8,9620.7,275.76,0.89,1065883.55,-0.88,21.18,0.91
9976.8,9869.5,9983.0,9843.0,286.87,1.99,1065883.55,-0.88,21.18,0.91
10106.6,10015.0,10141.8,9988.9,344.89,1.3,1065883.55,-0.88,21.18,0.91
9847.2,10048.6,10050.3,9801.7,557.11,-2.57,1065883.55,-0.88,21.18,0.91
9856.8,9826.1,9952.0,9820.3,220.6,0.1,1065883.55,-0.88,21.18,0.91
9550.2,9856.1,9857.8,9528.2,335.15,-3.11,1065883.55,-0.88,21.18,0.91
9474.6,9529.0,9659.1,9463.9,386.54,-0.79,1065883.55,-0.88,21.18,0.91
9291.4,9492.1,9540.2,9231.3,405.85,-1.93,1065883.55,-0.88,21.18,0.91
9519.5,9444.2,9575.3,9430.2,317.51,2.45,1065883.55,-0.88,21.18,0.91
9394.2,9500.9,9598.6,9357.4,284.12,-1.32,1065883.55,-0.88,21.18,0.91
9393.9,9280.4,9514.4,9264.4,303.21,-0.0,1065883.55,-0.88,21.18,0.91
9559.9,9580.6,9606.3,9491.1,277.07,1.77,1065883.55,-0.88,21.18,0.91
9567.3,9668.9,9718.0,9543.8,273.44,0.08,1060203.03,-0.71,20.9,0.96
9603.6,9650.4,9688.1,9428.8,280.4,0.38,1060203.03,-0.71,20.9,0.96
9971.3,9777.3,9980.9,9731.5,332.67,3.83,1060203.03,-0.71,20.9,0.96
10103.3,9996.5,10138.2,9909.5,281.16,1.32,1060203.03,-0.71,20.9,0.96
10170.0,10176.1,10289.8,10119.9,369.63,0.66,1060203.03,-0.71,20.9,0.96
10181.2,10137.8,10190.3,10063.2,300.04,0.11,1060203.03,-0.71,20.9,0.96
10309.6,10279.1,10354.1,10224.9,365.52,1.26,1060203.03,-0.71,20.9,0.96
10246.4,10318.8,10379.0,10208.5,222.78,-0.61,1060203.03,-0.71,20.9,0.96
10115.3,10227.4,10229.3,10049.8,259.78,-1.28,1060203.03,-0.71,20.9,0.96
10037.6,10065.4,10129.0,9992.4,253.69,-0.77,1060203.03,-0.71,20.9,0.96
10101.7,10132.1,10132.7,10055.1,239.3,0.64,1060203.03,-0.71,20.9,0.96
10231.5,10174.9,10244.0,10153.1,246.08,1.28,1060203.03,-0.71,20.9,0.96
10207.3,10221.5,10310.4,10164.7,186.38,-0.24,1060203.03,-0.71,20.9,0.96
10100.6,10196.8,10217.0,10055.1,218.59,-1.05,1060203.03,-0.71,20.9,0.96
